Iteration,Best Solution,Best Solution Sequence,N Machines,Reward,Precedence
1,"[1, 1, 1, 1, 2, 3, 5, 7, 2, 6, 6, 7, 5, 2, 3, 8, 3, 6, 7, 6, 3, 8, 7, 8, 6, 4, 4]","[0, 1, 2, 3, 4, 8, 13, 14, 16, 20, 5, 25, 26, 6, 12, 17, 19, 24, 9, 10, 7, 11, 18, 22, 15, 23, 21]",16,"(16, [15.829999999999998, 15.18, 21.39, 22.35, 18.29, 18.09, 25.83, 19.43, 20.2, 22.909999999999997, 17.51, 22.58, 18.909999999999997, 21.07, 12.34, 32.46], [['Task0001', 'Task0002', 'Task0003'], ['Task0004'], ['Task0005', 'Task0009'], ['Task0014', 'Task0015', 'Task0017'], ['Task0021'], ['Task0006'], ['Task0026'], ['Task0027'], ['Task0007'], ['Task0013', 'Task0018', 'Task0020'], ['Task0025', 'Task0010'], ['Task0011', 'Task0008'], ['Task0012', 'Task0019'], ['Task0023', 'Task0016'], ['Task0024'], ['Task0022']])",0
2,"[1, 1, 1, 1, 2, 6, 5, 3, 6, 3, 3, 2, 6, 3, 4, 7, 4, 2, 8, 2, 4, 8, 8, 7, 7, 4, 5]","[0, 1, 2, 3, 4, 19, 17, 11, 7, 10, 9, 13, 14, 16, 20, 25, 26, 6, 12, 8, 5, 24, 23, 15, 22, 18, 21]",15,"(15, [15.829999999999998, 15.18, 25.82, 20.479999999999997, 21.38, 22.35, 18.29, 25.83, 19.43, 20.2, 18.48, 18.09, 30.0, 20.549999999999997, 32.46], [['Task0001', 'Task0002', 'Task0003'], ['Task0004'], ['Task0005', 'Task0020', 'Task0018'], ['Task0012', 'Task0008'], ['Task0011', 'Task0010'], ['Task0014', 'Task0015', 'Task0017'], ['Task0021'], ['Task0026'], ['Task0027'], ['Task0007'], ['Task0013', 'Task0009'], ['Task0006'], ['Task0025', 'Task0024', 'Task0016'], ['Task0023', 'Task0019'], ['Task0022']])",0
3,"[1, 1, 1, 7, 6, 5, 2, 4, 6, 5, 4, 6, 2, 5, 5, 7, 6, 2, 8, 2, 1, 8, 8, 7, 4, 3, 3]","[0, 1, 2, 20, 17, 19, 12, 6, 25, 26, 24, 7, 10, 9, 5, 14, 13, 16, 11, 8, 4, 3, 15, 23, 18, 22, 21]",16,"(16, [15.829999999999998, 26.019999999999996, 15.18, 20.2, 25.83, 19.43, 18.71, 21.38, 22.67, 17.77, 19.88, 18.09, 18.03, 14.67, 18.22, 32.46], [['Task0001', 'Task0002', 'Task0003'], ['Task0021', 'Task0018', 'Task0020'], ['Task0013'], ['Task0007'], ['Task0026'], ['Task0027'], ['Task0025', 'Task0008'], ['Task0011', 'Task0010'], ['Task0006', 'Task0015'], ['Task0014', 'Task0017'], ['Task0012', 'Task0009'], ['Task0005'], ['Task0004', 'Task0016'], ['Task0024', 'Task0019'], ['Task0023'], ['Task0022']])",0
4,"[1, 1, 1, 2, 2, 1, 5, 4, 5, 4, 4, 7, 6, 6, 6, 8, 7, 2, 7, 2, 5, 8, 7, 8, 4, 3, 3]","[0, 1, 2, 5, 17, 19, 3, 4, 25, 26, 9, 10, 7, 24, 8, 20, 6, 12, 14, 13, 16, 11, 18, 22, 15, 23, 21]",16,"(16, [15.829999999999998, 25.82, 15.18, 18.09, 25.83, 22.13, 22.58, 18.11, 18.29, 20.2, 19.759999999999998, 17.77, 18.909999999999997, 21.07, 12.34, 32.46], [['Task0001', 'Task0002', 'Task0003'], ['Task0006', 'Task0018', 'Task0020'], ['Task0004'], ['Task0005'], ['Task0026'], ['Task0027', 'Task0010'], ['Task0011', 'Task0008'], ['Task0025', 'Task0009'], ['Task0021'], ['Task0007'], ['Task0013', 'Task0015'], ['Task0014', 'Task0017'], ['Task0012', 'Task0019'], ['Task0023', 'Task0016'], ['Task0024'], ['Task0022']])",0
5,"[1, 1, 1, 5, 4, 7, 2, 2, 6, 2, 2, 1, 3, 5, 5, 7, 6, 3, 8, 3, 6, 8, 8, 7, 6, 4, 3]","[0, 1, 2, 11, 9, 10, 7, 6, 12, 17, 19, 26, 25, 4, 3, 14, 13, 16, 24, 8, 20, 5, 15, 23, 18, 22, 21]",16,"(16, [15.829999999999998, 19.279999999999998, 22.58, 20.2, 22.909999999999997, 19.43, 25.83, 18.09, 19.759999999999998, 17.77, 18.11, 18.29, 20.94, 14.67, 18.22, 32.46], [['Task0001', 'Task0002', 'Task0003'], ['Task0012', 'Task0010'], ['Task0011', 'Task0008'], ['Task0007'], ['Task0013', 'Task0018', 'Task0020'], ['Task0027'], ['Task0026'], ['Task0005'], ['Task0004', 'Task0015'], ['Task0014', 'Task0017'], ['Task0025', 'Task0009'], ['Task0021'], ['Task0006', 'Task0016'], ['Task0024', 'Task0019'], ['Task0023'], ['Task0022']])",0
