Experiment,Mean Idle Times,Sum Idle Times,Downtime,Mean CT,Parts Done,Cycle Time
556,"[0.0, 1.382504399865642, 309.9708632189961, 516.5733760487058, 612.6363163334624, 402.3896619149934, 239.14367463403127, 191.42401883003777]","[0.0, 51621.331786583214, 455153.9469402821, 449895.1562756035, 1421160.7286509671, 2009922.9241314065, 613058.3252473902, 1594195.1547971729]","[17, 14, 18, 25, 22, 13, 16, 13]","[138.1957773512476, 138.89186582359875, 276.95266588310716, 278.97965773329025, 139.05579399141632, 139.12296709784766, 139.16778523489933, 139.16778523489933]",18625.0,139.16778523489933
557,"[0.0, 1.0203340392389528, 272.0118536782708, 148.90650166876176, 325.94816994754547, 312.4798326389224, 102.78381855927898, 203.4092104301624]","[0.0, 38746.16480605999, 483518.52567499864, 497120.1456299621, 1463247.6422333103, 2043306.8752207544, 595048.2150267913, 1576550.3860985886]","[11, 25, 20, 17, 14, 7, 10, 14]","[135.9274214694006, 136.60798988088965, 273.5620052770449, 273.18718381112984, 136.7304953315398, 136.79544015199494, 136.83154727339914, 136.83877098511246]",18942.0,136.83877098511246
558,"[0.0, 1.2030602406576414, 23.768451201401124, 120.48411298301251, 311.972799250596, 363.77601084243446, 128.1932389322327, 206.957590093614]","[0.0, 46069.98885574372, 455216.63372546085, 451106.5114435146, 1425795.8499814624, 1997593.7666217242, 585051.3283314692, 1584045.1059892895]","[13, 11, 15, 17, 13, 18, 12, 10]","[134.7333402640607, 135.4161224596416, 270.5354347145392, 271.5273412947831, 135.57903546396068, 135.68549442495944, 135.7778941854374, 135.7921207041073]",19088.0,135.7921207041073
559,"[0.0, 1.3175558510814938, 48.636950674618184, 407.9861901615295, 334.2457225676582, 294.99448991839415, 171.84177159819154, 347.6769915346487]","[0.0, 49462.36420545036, 497261.4409231407, 500348.4199015895, 1442008.0383508585, 1995100.322554334, 601017.6635858534, 1586408.2219228966]","[15, 25, 12, 16, 12, 12, 15, 14]","[137.48475043759615, 138.18104275509117, 275.3931151721207, 277.69445039640027, 138.299007576566, 138.3137673425827, 138.328530259366, 138.328530259366]",18738.0,138.328530259366
560,"[0.0, 1.1002311896550727, 253.34285848675447, 177.0796956274267, 617.4032567649139, 363.83385091272777, 54.31657687922681, 294.41121922221186]","[0.0, 41951.81526154793, 470237.69975361513, 473466.05913528387, 1415380.1290779787, 2026760.9210371622, 592857.4268734755, 1582947.3287228355]","[13, 17, 11, 10, 22, 12, 12, 11]","[135.35248041775458, 136.02015113350126, 272.52654820733886, 271.89761879786005, 136.18452162034362, 136.270437937017, 136.34211772131923, 136.36363636363637]",19008.0,136.36363636363637
561,"[0.0, 0.6677399359080142, 377.3996452381345, 420.77963916519616, 224.99967473743266, 428.6063592860558, 97.8720898353051, 346.9828406275078]","[0.0, 25524.35905008384, 456993.5881962494, 460871.487437946, 1415562.5462065516, 1991147.134947267, 564455.6277061681, 1567397.3976709596]","[7, 18, 9, 15, 16, 13, 15, 15]","[134.97188085815455, 135.68549442495944, 270.22518765638034, 273.07206068268016, 135.9131665880132, 135.96307175828787, 136.00587679714556, 136.02015113350126]",19056.0,136.02015113350126
562,"[0.0, 58.91730765871165, 202.12606575478833, 503.1415787622091, 153.71613667107619, 419.36012174059755, 80.2558414134638, 163.3525166088359]","[0.0, 40639.08616188013, 475043.47892096295, 479836.24598560587, 1441272.1112078486, 1996616.3242621666, 601674.2993536678, 1601396.960695212]","[13, 21, 22, 17, 13, 13, 20, 10]","[137.42643550182916, 138.16631130063965, 277.5457757789913, 275.80336241753565, 138.4689353063732, 138.57998289136015, 138.6615310544054, 138.68378812199037]",18690.0,138.68378812199037
563,"[0.0, 1.3117963413513065, 114.40791020259084, 345.991289936304, 344.31733395541215, 392.0348609900906, 244.9370930168748, 679.2542438260452]","[0.0, 50005.6765323118, 467060.2315800012, 467860.8840571926, 1410095.7798581214, 1967555.6368196388, 533715.52485527, 1541498.6942102043]","[14, 15, 10, 14, 13, 8, 20, 22]","[135.31714956930304, 136.04870879697668, 271.27158555729983, 273.64864864864865, 136.36363636363637, 136.51445726023067, 136.62959253597597, 136.6439981021667]",18969.0,136.6439981021667
564,"[0.0, 0.925895651145323, 425.2255081055868, 108.42990263531645, 260.5068746927568, 64.64408022222355, 30.861474441781535, 267.5574681290543]","[0.0, 35593.28062132851, 466287.17367700546, 469881.67723578465, 1457634.921229821, 2067842.3905890917, 575040.5568296895, 1572562.1480776528]","[10, 17, 17, 17, 18, 2, 11, 12]","[134.25182576267676, 134.9156777014366, 269.8594482040604, 270.16885553470917, 135.07034914017717, 135.13372608310308, 135.17601043024771, 135.18306039428393]",19174.0,135.18306039428393
565,"[0.0, 82.56299908763026, 309.0306424861408, 23.792995646869976, 202.4256371456271, 402.38215613158076, 256.6819128047071, 249.90800234150186]","[0.0, 39744.72968113134, 450621.5966965443, 450537.10675010836, 1434204.6059061547, 1999154.2688662307, 561305.6995602471, 1565176.6301477654]","[14, 13, 17, 25, 12, 11, 14, 16]","[134.93674839918788, 135.65708902496468, 269.7190426638918, 273.53313634444913, 135.90604026845637, 135.9916054564533, 136.0415682569674, 136.05585008660964]",19051.0,136.05585008660964
