Experiment,Mean Idle Times,Sum Idle Times,Downtime,Mean CT,Parts Done,Cycle Time
1,"[3705.9755567627167, 5012.286112390347, 2550.2590942916236, 35580.727637445605, 2098.559014066371, 5629.357613679165, 5034.489181199197, 5143.6972488340725]","[2309358.055189643, 2301568.568878842, 2223400.9061214137, 2425112.068224961, 1038328.042604812, 2296658.4304548297, 2222218.7540537664, 2198894.6129754893]","[12, 14, 9, 13, 14, 21, 17, 14]","[1143.865842894969, 1148.936170212766, 1326.5097236438075, 9893.129770992366, 1237.2315035799522, 1305.793450881612, 1341.6149068322982, 1384.6153846153845]",1842.0,1407.1661237785017
2,"[5172.792034342297, 2565.9183372043017, 3362.6132034751454, 64473.86291451872, 1712.314749691323, 6535.562262174083, 7593.723408883945, 2287.1772540627417]","[2288268.240911681, 2323733.4372601714, 2228778.427390672, 2235802.5526614916, 1044896.4443543797, 2306574.532463056, 2197052.308156569, 2331770.3966111476]","[16, 8, 10, 25, 17, 17, 21, 6]","[1128.9198606271777, 1132.8671328671328, 1305.1359516616315, 9931.034482758621, 1218.045112781955, 1281.2654473554128, 1317.7427554651754, 1364.9289099526065]",1867.0,1388.3235136582753
3,"[3399.989372945227, 7882.991228290992, 3160.354721656596, 14915.107794383528, 3804.389728416584, 5150.958710117282, 6185.419648655782, 4492.944177907486]","[2310083.191866559, 2265149.0842722966, 2162493.455935816, 2469627.9345139517, 1000283.9148927877, 2328886.672677007, 2287841.3027007855, 2233643.3640694683]","[12, 22, 13, 7, 28, 13, 16, 14]","[1140.3431588209414, 1147.410358565737, 1330.5954825462013, 10046.511627906977, 1246.7532467532467, 1312.4050632911392, 1345.096004151531, 1386.8378812199037]",1841.0,1407.930472569256
4,"[3555.6059042208203, 3652.0895580051074, 6302.25373907897, 24598.571282067536, 2266.133402240852, 6378.5718760592845, 7595.623652462935, 4894.12884929394]","[2298892.1135318, 2295577.224136373, 2113645.8047417896, 2442484.890567358, 1048392.3581232508, 2253034.831771052, 2268033.586485975, 2218575.0419815755]","[12, 12, 20, 13, 16, 19, 19, 13]","[1106.2740076824584, 1112.4463519313306, 1298.5971943887776, 9094.736842105263, 1206.703910614525, 1278.1065088757396, 1309.090909090909, 1344.3983402489628]",1894.0,1368.532206969377
5,"[1617.058024978615, 4665.71789801898, 5800.046064033095, 39916.643559866854, 1225.8398398699608, 3930.721021180452, 3552.4309637331135, 5254.095984337418]","[2330263.2424094477, 2294891.9314582394, 2159343.728861838, 2402520.5925270305, 978932.7724043143, 2279171.1557386857, 2330034.043360415, 2238337.4624683675]","[7, 14, 16, 15, 17, 16, 10, 14]","[1128.4283848498042, 1135.8457493426818, 1306.4516129032259, 10204.72440944882, 1223.7960339943343, 1292.7680798004988, 1322.4489795918366, 1357.068062827225]",1878.0,1380.1916932907347
6,"[2874.876505784641, 5064.591441539038, 5506.045001765804, 52794.29370114781, 3494.6074249935546, 2113.3785397390934, 4391.9921723594525, 4655.245478022103]","[2310856.4846557076, 2270954.836605398, 2227377.2181534246, 2306345.106159667, 958634.1184043359, 2349385.9316321397, 2229715.526313398, 2229824.6226072833]","[11, 19, 13, 17, 12, 7, 17, 12]","[1142.3534596738652, 1149.4456762749446, 1318.413021363174, 10493.927125506072, 1241.9741255390513, 1309.090909090909, 1331.9630010277492, 1361.3445378151262]",1879.0,1379.4571580627994
7,"[6468.444224802832, 5122.014716165, 6529.0657356345055, 52257.2945757383, 1807.471070573829, 4646.560889043572, 7090.236602774515, 5233.894505063969]","[2268507.4831745606, 2290591.1525387918, 2185415.430518445, 2327972.874465717, 968483.843296598, 2293900.316140259, 2251267.636523615, 2274160.1641043234]","[22, 16, 16, 16, 16, 12, 17, 14]","[1141.3474240422722, 1153.0249110320285, 1334.7064881565398, 10245.05928853755, 1253.3849129593812, 1320.4279164544066, 1352.8183716075157, 1387.5802997858673]",1846.0,1404.1170097508125
8,"[4954.379860978732, 4130.976573581739, 5632.593877201545, 26915.719541448565, 1303.6826657567779, 4567.351855439897, 3478.776303238605, 4701.417883154184]","[2289223.391000375, 2306917.7356605693, 2092920.210607764, 2414235.3269295013, 1059790.822088182, 2309412.884622347, 2288770.2920751763, 2214905.2111418466]","[16, 13, 17, 10, 11, 12, 10, 19]","[1127.4467159634623, 1134.3544857768052, 1321.7746047934727, 9459.85401459854, 1233.6982389338411, 1304.4791142425768, 1336.0824742268042, 1369.9788583509514]",1867.0,1388.3235136582753
9,"[3422.182440989039, 4226.201111938414, 5373.525347460324, 51819.74870920196, 2491.503011485845, 6300.444709386233, 3928.1463700814816, 4655.7841058357235]","[2302298.8817485496, 2290270.9435343053, 2210373.335047564, 2373098.7388072386, 985099.0189203948, 2310614.7620869507, 2282166.056359428, 2261282.6709918557]","[14, 16, 15, 15, 11, 15, 12, 13]","[1143.865842894969, 1149.4456762749446, 1321.7746047934727, 10164.70588235294, 1236.0515021459228, 1305.793450881612, 1337.4613003095976, 1372.8813559322034]",1858.0,1395.0484391819161
10,"[4527.368880174298, 4781.844167250472, 2368.556293063909, 23295.351992780572, 2782.7945680134444, 4413.554193899025, 2584.315723439756, 5583.402688848705]","[2300142.056967412, 2306555.996989178, 2259764.84945226, 2464828.664909366, 946480.023111627, 2289246.8010185943, 2327343.082427198, 2270081.376139699]","[14, 13, 7, 8, 14, 12, 9, 12]","[1130.3968600087221, 1137.340939008337, 1300.551931761164, 10493.927125506072, 1222.6415094339623, 1290.8366533864541, 1318.413021363174, 1352.8183716075157]",1883.0,1376.5268189060012
