Experiment,Mean Idle Times,Sum Idle Times,Downtime,Mean CT,Parts Done,Cycle Time
18,"[0.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[58581.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[0, 0, 0, 0, 0, 0, 0]","[62.3826714801444, 161.49532710280374, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
19,"[0.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[57981.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[0, 0, 0, 0, 0, 0, 0]","[61.06007067137809, 161.49532710280374, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
20,"[0.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[57381.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[0, 0, 0, 0, 0, 0, 0]","[59.792387543252595, 161.49532710280374, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
21,"[0.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[56781.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[0, 0, 0, 0, 0, 0, 0]","[58.57627118644068, 161.49532710280374, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
22,"[0.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[56181.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[0, 0, 0, 0, 0, 0, 0]","[57.40863787375415, 161.49532710280374, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
23,"[0.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[55581.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[0, 0, 0, 0, 0, 0, 0]","[56.28664495114006, 161.49532710280374, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
24,"[0.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[54981.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[0, 0, 0, 0, 0, 0, 0]","[55.20766773162939, 161.49532710280374, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
25,"[0.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[54381.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[0, 0, 0, 0, 0, 0, 0]","[54.1692789968652, 161.49532710280374, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
26,"[0.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[53781.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[0, 0, 0, 0, 0, 0, 0]","[53.16923076923077, 161.49532710280374, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
27,"[0.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[53181.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[0, 0, 0, 0, 0, 0, 0]","[52.205438066465256, 161.49532710280374, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
