Experiment,Mean Idle Times,Sum Idle Times,Downtime,Mean CT,Parts Done,Cycle Time
1,"[4104.701432641264, 4574.206264676893, 4571.059941001221, 5627.085144601015, 5379.476016070672, 3331.801092891681, 6599.862635463607]","[2325095.7535852143, 2334536.057242741, 2319036.773662067, 2306281.008991363, 2320858.7954593226, 2322934.926036997, 2224907.056003784]","[11, 13, 13, 17, 15, 10, 17]","[1285.0768468021815, 1305.1359516616315, 1329.2307692307693, 1358.4905660377358, 1386.8378812199037, 1415.6198798470782, 1455.362156092083]",1750.0,1481.142857142857
2,"[5880.338693501876, 3428.3242854906, 3409.319882760208, 5749.106343589573, 5430.683698377568, 6766.364497303606, 5300.177412394299]","[2327934.918884244, 2319203.477483823, 2346484.723967576, 2281463.6511392836, 2326472.0434884923, 2265222.9931378528, 2229989.77961784]","[14, 12, 9, 19, 13, 18, 15]","[1283.1683168316831, 1305.1359516616315, 1326.5097236438075, 1352.8183716075157, 1384.6153846153845, 1417.167851284855, 1458.6381541924593]",1748.0,1482.837528604119
3,"[2140.4824570275914, 5598.676366998225, 4868.353756137014, 3073.129900754352, 5936.908804651824, 4336.6931607928045, 2937.995724795324]","[2355417.709739514, 2303259.637951005, 2299351.024677397, 2362745.8640294247, 2304371.4763697213, 2330556.1159783383, 2259263.411342794]","[7, 17, 15, 7, 17, 13, 9]","[1259.4752186588921, 1276.218611521418, 1298.5971943887776, 1322.4489795918366, 1350.0, 1386.8378812199037, 1436.8070953436807]",1765.0,1468.5552407932012
4,"[3390.2223427692006, 3688.804575263467, 3525.1009134895503, 5304.710942786755, 7069.342227311776, 9018.463390651968, 6319.628727951015]","[2344278.4779279083, 2315521.668613455, 2306999.7052025963, 2326365.2321052467, 2304185.4090437866, 2219605.924854482, 2239437.4397235103]","[9, 11, 13, 15, 22, 21, 17]","[1282.5333993072736, 1303.1674208144796, 1327.188940092166, 1352.8183716075157, 1379.4571580627994, 1410.9961894393032, 1461.9289340101523]",1731.0,1497.4003466204506
5,"[6987.005085440089, 8410.22298220093, 5576.387868057765, 6508.567481051193, 6002.75634988338, 8269.198531170343, 6633.901424234145]","[2293881.2434558994, 2301355.878505221, 2307267.4187765946, 2296447.7719607707, 2283593.736116011, 2247351.1767100664, 2240976.728764047]","[21, 21, 16, 17, 21, 22, 13]","[1287.6304023845007, 1312.4050632911392, 1341.6149068322982, 1369.9788583509514, 1401.8388318009736, 1443.207126948775, 1497.4003466204506]",1692.0,1531.9148936170213
6,"[3839.9585353006855, 5989.106861986927, 4263.305392555762, 3454.044786150144, 6620.939988044911, 8132.020536822881, 4942.161400414721]","[2298514.244817577, 2284730.002194418, 2311612.824514539, 2357769.23866081, 2287000.6969466424, 2288044.8557033055, 2264510.221747064]","[11, 16, 13, 8, 18, 20, 12]","[1278.737049827331, 1301.2048192771085, 1323.12404287902, 1345.7943925233644, 1376.5268189060012, 1413.3042529989095, 1457.8177727784027]",1744.0,1486.2385321100917
7,"[2333.383570430077, 6413.074881573315, 3430.9983346754193, 5565.356408518552, 4705.394272409838, 6543.647332263168, 7235.239096024522]","[2347057.4561750926, 2281580.325816139, 2347682.1514694216, 2292911.082724107, 2315669.9502612078, 2273604.240412041, 2196445.261939315]","[9, 21, 9, 16, 12, 15, 17]","[1277.4765894529326, 1300.551931761164, 1327.188940092166, 1354.2319749216301, 1383.876134543513, 1417.167851284855, 1465.2345958168457]",1733.0,1495.672244662435
8,"[5502.995595900209, 4296.190628602201, 5760.8801605293775, 7041.461594453897, 6059.279595168464, 5306.55302394858, 5909.210580929469]","[2283882.6846203622, 2318052.208453714, 2292300.8342471, 2301777.590238015, 2297122.8406571317, 2343783.648227045, 2234188.560792731]","[17, 11, 18, 18, 16, 12, 15]","[1274.9631087063453, 1297.2972972972973, 1321.1009174311926, 1349.297241020302, 1380.927011188066, 1413.3042529989095, 1457.8177727784027]",1741.0,1488.799540493969
9,"[5246.789885140399, 4524.523092892339, 3934.212613712041, 5920.5369839913865, 6994.2808811041905, 4314.187579012488, 4973.352661690211]","[2312827.08243111, 2333835.591297644, 2336505.3940303884, 2315555.380403156, 2327428.5096106133, 2290130.9648328647, 2288703.985138938]","[17, 14, 12, 16, 16, 13, 12]","[1280.0, 1303.8229376257545, 1326.5097236438075, 1354.2319749216301, 1380.1916932907347, 1408.695652173913, 1449.6644295302012]",1761.0,1471.8909710391822
10,"[7577.624502537779, 5753.502031499273, 5240.123515560981, 5533.015283804115, 6095.9980552996485, 5345.458788122311, 5148.023218376354]","[2267218.0410530525, 2288268.961675082, 2304906.3734126654, 2311130.928376766, 2287732.456447271, 2338119.6240491355, 2193885.0403861445]","[21, 17, 16, 17, 19, 12, 17]","[1281.899109792285, 1310.4145601617795, 1340.9208484221417, 1367.8100263852243, 1395.799676898223, 1425.7425742574258, 1468.5552407932012]",1729.0,1499.1324465008674
