Iteration,Best Solution,Best Solution Sequence,N Machines,Reward,Precedence
1,"[1, 1, 1, 4, 4, 2, 8, 6, 5, 5, 5, 3, 8, 7, 6, 9, 7, 1, 9, 1, 7, 10, 9, 10, 6, 2, 3]","[0, 1, 2, 17, 19, 5, 25, 26, 11, 4, 3, 8, 10, 9, 7, 24, 14, 16, 13, 20, 6, 12, 15, 18, 22, 23, 21]",16,"(16, [20.409999999999997, 21.24, 25.83, 19.43, 16.58, 18.09, 18.48, 21.38, 18.71, 22.35, 18.29, 20.2, 20.36, 18.22, 12.34, 32.46], [['Task0001', 'Task0002', 'Task0003', 'Task0018'], ['Task0020', 'Task0006'], ['Task0026'], ['Task0027'], ['Task0012'], ['Task0005'], ['Task0004', 'Task0009'], ['Task0011', 'Task0010'], ['Task0008', 'Task0025'], ['Task0015', 'Task0017', 'Task0014'], ['Task0021'], ['Task0007'], ['Task0013', 'Task0016', 'Task0019'], ['Task0023'], ['Task0024'], ['Task0022']])",0
2,"[1, 1, 1, 6, 5, 7, 3, 4, 4, 5, 5, 4, 3, 7, 6, 10, 6, 1, 9, 1, 8, 10, 9, 9, 8, 2, 2]","[0, 1, 2, 17, 19, 26, 25, 6, 12, 11, 8, 7, 10, 9, 4, 3, 16, 14, 13, 5, 20, 24, 18, 22, 23, 15, 21]",16,"(16, [20.409999999999997, 22.58, 25.83, 20.2, 15.18, 19.88, 22.58, 20.79, 18.259999999999998, 19.27, 18.09, 18.29, 17.14, 18.22, 15.19, 32.46], [['Task0001', 'Task0002', 'Task0003', 'Task0018'], ['Task0020', 'Task0027'], ['Task0026'], ['Task0007'], ['Task0013'], ['Task0012', 'Task0009'], ['Task0008', 'Task0011'], ['Task0010', 'Task0005'], ['Task0004', 'Task0017'], ['Task0015', 'Task0014'], ['Task0006'], ['Task0021'], ['Task0025', 'Task0019'], ['Task0023'], ['Task0024', 'Task0016'], ['Task0022']])",0
3,"[1, 1, 1, 7, 6, 5, 3, 5, 7, 5, 4, 6, 4, 8, 7, 9, 8, 1, 9, 1, 3, 10, 9, 9, 8, 2, 2]","[0, 1, 2, 17, 19, 26, 25, 20, 6, 12, 10, 7, 9, 5, 11, 4, 3, 8, 14, 13, 16, 24, 15, 23, 18, 22, 21]",16,"(16, [20.409999999999997, 22.58, 25.83, 18.29, 20.2, 15.18, 22.58, 20.79, 16.58, 18.09, 18.48, 22.35, 17.66, 14.67, 18.22, 32.46], [['Task0001', 'Task0002', 'Task0003', 'Task0018'], ['Task0020', 'Task0027'], ['Task0026'], ['Task0021'], ['Task0007'], ['Task0013'], ['Task0011', 'Task0008'], ['Task0010', 'Task0006'], ['Task0012'], ['Task0005'], ['Task0004', 'Task0009'], ['Task0015', 'Task0014', 'Task0017'], ['Task0025', 'Task0016'], ['Task0024', 'Task0019'], ['Task0023'], ['Task0022']])",0
4,"[1, 1, 1, 2, 2, 8, 4, 7, 7, 7, 6, 8, 5, 1, 1, 9, 2, 5, 9, 5, 6, 10, 9, 10, 7, 3, 4]","[0, 1, 2, 14, 13, 16, 4, 3, 25, 26, 6, 12, 17, 19, 20, 10, 9, 7, 8, 24, 5, 11, 22, 15, 18, 23, 21]",16,"(16, [20.409999999999997, 17.77, 18.09, 15.18, 25.83, 19.43, 20.2, 19.759999999999998, 21.439999999999998, 21.38, 22.009999999999998, 18.09, 16.58, 21.07, 14.67, 32.46], [['Task0001', 'Task0002', 'Task0003', 'Task0015'], ['Task0014', 'Task0017'], ['Task0005'], ['Task0004'], ['Task0026'], ['Task0027'], ['Task0007'], ['Task0013', 'Task0018'], ['Task0020', 'Task0021'], ['Task0011', 'Task0010'], ['Task0008', 'Task0009', 'Task0025'], ['Task0006'], ['Task0012'], ['Task0023', 'Task0016'], ['Task0019', 'Task0024'], ['Task0022']])",0
5,"[1, 1, 1, 6, 6, 7, 4, 5, 8, 5, 5, 8, 4, 2, 2, 9, 2, 1, 9, 1, 7, 10, 9, 9, 8, 3, 2]","[0, 1, 2, 17, 19, 14, 13, 16, 26, 25, 6, 12, 7, 9, 10, 4, 3, 5, 20, 8, 11, 24, 15, 23, 18, 22, 21]",16,"(16, [20.409999999999997, 22.42, 22.509999999999998, 25.83, 20.2, 21.779999999999998, 18.68, 18.09, 15.18, 18.09, 21.59, 16.58, 17.66, 14.67, 18.22, 32.46], [['Task0001', 'Task0002', 'Task0003', 'Task0018'], ['Task0020', 'Task0015', 'Task0014'], ['Task0017', 'Task0027'], ['Task0026'], ['Task0007'], ['Task0013', 'Task0008', 'Task0010'], ['Task0011'], ['Task0005'], ['Task0004'], ['Task0006'], ['Task0021', 'Task0009'], ['Task0012'], ['Task0025', 'Task0016'], ['Task0024', 'Task0019'], ['Task0023'], ['Task0022']])",0
