Iteration,Best Solution,Best Solution Sequence,N Machines,Reward,Precedence
1,"[1, 1, 1, 4, 4, 2, 2, 1, 1, 1, 1, 3, 2, 3, 3, 5, 3, 3, 5, 3, 3, 5, 4, 5, 4, 1, 2]","[0, 1, 2, 8, 10, 9, 7, 25, 26, 12, 6, 5, 11, 14, 13, 16, 17, 19, 20, 24, 3, 4, 22, 18, 15, 21, 23]",7,"(7, [44.410000000000004, 45.26, 53.47, 46.65999999999999, 48.28, 41.49, 44.8], [['Task0001', 'Task0002', 'Task0003', 'Task0009', 'Task0011', 'Task0010', 'Task0008'], ['Task0026', 'Task0027'], ['Task0013', 'Task0007', 'Task0006'], ['Task0012', 'Task0015', 'Task0014', 'Task0017', 'Task0018', 'Task0020'], ['Task0021', 'Task0025', 'Task0004'], ['Task0005', 'Task0023', 'Task0019', 'Task0016'], ['Task0022', 'Task0024']])",1
2,"[1, 1, 1, 3, 3, 4, 2, 2, 4, 2, 2, 4, 2, 3, 4, 5, 4, 4, 5, 4, 4, 5, 5, 5, 3, 1, 1]","[0, 1, 2, 25, 26, 7, 9, 10, 6, 12, 3, 4, 24, 13, 14, 16, 5, 8, 17, 19, 20, 11, 22, 23, 18, 15, 21]",7,"(7, [41.66, 44.709999999999994, 50.559999999999995, 55.24999999999999, 47.41, 52.32, 32.46], [['Task0001', 'Task0002', 'Task0003', 'Task0026'], ['Task0027', 'Task0008', 'Task0010', 'Task0011'], ['Task0007', 'Task0013', 'Task0004'], ['Task0005', 'Task0025', 'Task0014', 'Task0015', 'Task0017'], ['Task0006', 'Task0009', 'Task0018', 'Task0020', 'Task0021'], ['Task0012', 'Task0023', 'Task0024', 'Task0019', 'Task0016'], ['Task0022']])",0
3,"[1, 1, 1, 1, 1, 2, 4, 3, 1, 3, 2, 4, 4, 2, 2, 5, 2, 1, 5, 1, 3, 5, 4, 5, 2, 3, 3]","[0, 1, 2, 8, 4, 3, 17, 19, 5, 16, 14, 13, 24, 10, 7, 9, 25, 26, 20, 11, 6, 12, 22, 18, 15, 23, 21]",6,"(6, [56.98, 58.4, 51.11, 54.3, 58.779999999999994, 44.8], [['Task0001', 'Task0002', 'Task0003', 'Task0009', 'Task0005', 'Task0004', 'Task0018'], ['Task0020', 'Task0006', 'Task0017', 'Task0015', 'Task0014', 'Task0025'], ['Task0011', 'Task0008', 'Task0010', 'Task0026'], ['Task0027', 'Task0021', 'Task0012'], ['Task0007', 'Task0013', 'Task0023', 'Task0019', 'Task0016'], ['Task0024', 'Task0022']])",0
4,"[1, 1, 1, 1, 2, 4, 3, 1, 3, 1, 1, 3, 3, 2, 2, 4, 2, 4, 5, 4, 1, 5, 4, 4, 4, 2, 3]","[0, 1, 2, 7, 9, 10, 20, 3, 4, 13, 16, 14, 25, 26, 11, 8, 6, 12, 17, 19, 24, 5, 23, 15, 22, 21, 18]",6,"(6, [59.4, 55.61999999999999, 45.26, 59.839999999999996, 51.24, 53.01], [['Task0001', 'Task0002', 'Task0003', 'Task0008', 'Task0010', 'Task0011', 'Task0021'], ['Task0004', 'Task0005', 'Task0014', 'Task0017', 'Task0015'], ['Task0026', 'Task0027'], ['Task0012', 'Task0009', 'Task0007', 'Task0013', 'Task0018'], ['Task0020', 'Task0025', 'Task0006', 'Task0024', 'Task0016'], ['Task0023', 'Task0022', 'Task0019']])",1
5,"[1, 1, 1, 2, 3, 2, 3, 4, 2, 4, 4, 4, 3, 4, 4, 5, 4, 3, 5, 3, 2, 5, 5, 5, 2, 1, 1]","[0, 1, 2, 26, 25, 5, 8, 20, 24, 3, 4, 17, 19, 12, 6, 9, 7, 10, 16, 13, 14, 11, 23, 18, 22, 21, 15]",7,"(7, [35.26, 47.22, 48.28, 41.0, 48.559999999999995, 50.519999999999996, 53.53], [['Task0001', 'Task0002', 'Task0003', 'Task0027'], ['Task0026', 'Task0006', 'Task0009'], ['Task0021', 'Task0025', 'Task0004'], ['Task0005', 'Task0018', 'Task0020', 'Task0013'], ['Task0007', 'Task0010', 'Task0008', 'Task0011', 'Task0017'], ['Task0014', 'Task0015', 'Task0012', 'Task0024', 'Task0019'], ['Task0023', 'Task0022', 'Task0016']])",1
