Experiment,Mean Idle Times,Sum Idle Times,Downtime,Mean CT,Parts Done,Cycle Time
1,"[3905.4981115139167, 5334.668890642973, 50489.25898340085, 3526.3295372752564, 5617.859706736651, 5917.232667457318, 3679.5420311017174, 4537.506532914527]","[2288573.7866454655, 2149721.6496779798, 2363529.729373247, 799664.3215052551, 2283024.4448083267, 2299019.7864984586, 2300807.9158755615, 2276226.0184007874]","[16, 15, 18, 21, 23, 17, 11, 10]","[1115.7985363753767, 1301.2048192771085, 9159.010600706713, 1211.214953271028, 1273.0844793713163, 1300.551931761164, 1336.7715317173802, 1380.927011188066]",1842.0,1407.1661237785017
2,"[4171.915333656227, 4031.3609995438096, 56663.63914466071, 2922.2143670816417, 5277.154553673976, 5370.189262051051, 5995.553816012983, 6391.5258489758135]","[2282303.0174729195, 2218804.6544250846, 2300370.545102816, 751489.1161067574, 2278295.7474249424, 2306333.7304059346, 2232355.8178669503, 2175930.5614666627]","[14, 13, 19, 16, 19, 16, 16, 20]","[1117.7231565329885, 1281.2654473554128, 10204.72440944882, 1204.4609665427508, 1269.9657030867222, 1295.352323838081, 1325.8312020460357, 1368.532206969377]",1860.0,1393.5483870967741
3,"[3402.382876439713, 5242.489819073822, 37049.40288048951, 770.5486346731234, 4544.941503519545, 7156.429502406693, 5702.762281398826, 5260.648365238544]","[2291417.0570831033, 2184293.6692621107, 2344942.123053453, 805265.49561226, 2313828.696956346, 2280182.654773934, 2262689.719018743, 2196768.614551942]","[13, 19, 14, 9, 13, 19, 18, 14]","[1100.6369426751592, 1275.5905511811025, 9159.010600706713, 1181.4038286235186, 1246.7532467532467, 1279.3682132280355, 1310.4145601617795, 1343.701399688958]",1903.0,1362.0599054125066
4,"[4559.248688020497, 4240.257554762922, 32311.90865157803, 975.6385217789348, 4174.3078216159765, 6241.509569567732, 3729.375691802006, 5797.525638549764]","[2277676.945744615, 2143730.9431946254, 2354595.648186236, 816917.5693515048, 2287043.2965146876, 2286840.2409203085, 2331498.0465853917, 2163645.8805311364]","[16, 14, 14, 13, 14, 17, 11, 19]","[1120.1382886776146, 1294.7052947052948, 9781.132075471698, 1211.781206171108, 1275.5905511811025, 1304.4791142425768, 1338.1517811048013, 1375.7961783439491]",1855.0,1397.3045822102426
5,"[4568.396758822671, 3555.2940617070713, 30606.932868348016, 776.166826177799, 7185.0045210932, 4656.880578686343, 4095.566643784772, 5558.676395844306]","[2290898.4114699126, 2182214.0681807264, 2445880.962006079, 779144.2641522471, 2252994.0126736704, 2322170.5855608787, 2307706.347160751, 2167923.940155351]","[15, 11, 12, 9, 22, 10, 13, 21]","[1114.359415305245, 1291.4798206278026, 9224.199288256228, 1197.7818853974122, 1264.3902439024391, 1291.4798206278026, 1319.755600814664, 1362.0599054125066]",1868.0,1387.5802997858673
6,"[5652.341755826876, 5876.100360696203, 30941.08468025363, 2043.1875753531428, 4849.444333710659, 5313.209199628463, 5124.972666637771, 6664.747954251666]","[2286645.973214113, 2070646.4832583617, 2359879.019720125, 791742.0531992684, 2319414.456272681, 2260956.768826928, 2335193.612370392, 2152872.8907660646]","[16, 17, 14, 18, 13, 18, 11, 19]","[1107.6923076923076, 1293.4131736526947, 9257.142857142857, 1206.1423918101443, 1267.4816625916872, 1292.123629112662, 1321.7746047934727, 1362.0599054125066]",1869.0,1386.8378812199037
7,"[3889.523156492828, 7120.971428306721, 34966.02541529204, 1892.6778675419002, 4627.109512333444, 2658.2468562238346, 2015.5747918716552, 3576.4084006145363]","[2279380.737932139, 2111342.1046487177, 2387975.5293760556, 802227.5827476564, 2292292.344251026, 2336807.7473382954, 2340074.3141562454, 2229961.6510264156]","[14, 20, 15, 18, 12, 9, 8, 15]","[1115.7985363753767, 1297.9469203805709, 9357.40072202166, 1210.6492293320878, 1274.9631087063453, 1296.0, 1317.7427554651754, 1355.6485355648535]",1877.0,1380.927011188066
8,"[2473.684325871643, 2346.121043739743, 49283.87840956593, 884.7761402468813, 5314.567109133501, 3015.0622549457626, 4733.9330924971055, 4464.469048523593]","[2290634.710305107, 2228349.7922155503, 2274473.2289625825, 765883.6552583973, 2266041.92608898, 2294969.716033743, 2273017.732950895, 2232061.9110378986]","[9, 11, 20, 14, 18, 11, 17, 13]","[1130.890052356021, 1292.123629112662, 10326.693227091633, 1210.6492293320878, 1278.1065088757396, 1307.1104387291982, 1334.0195573854865, 1374.3372216330858]",1851.0,1400.32414910859
9,"[2875.3069662085018, 5505.401769641657, 33936.68131319547, 527.8411686106991, 3722.4975588352304, 4420.187845478401, 2898.466475756956, 4061.678871302218]","[2288505.5423858017, 2110149.813978462, 2386152.88479508, 778869.8538433095, 2295628.2780698217, 2317955.313185614, 2343777.755499742, 2209720.1482200236]","[10, 17, 12, 10, 9, 10, 10, 12]","[1077.7546777546777, 1245.555021624219, 9224.199288256228, 1160.77026421854, 1219.764705882353, 1245.555021624219, 1276.847290640394, 1317.0731707317073]",1932.0,1341.6149068322982
10,"[3180.7078502662207, 4227.474156175992, 38426.61707790889, 1808.3386933988954, 5264.767341494268, 4352.496248939107, 4142.369153133321, 5808.652452136521]","[2293480.0817348, 2156543.420506102, 2291853.9463367215, 794012.2665180828, 2279851.377007616, 2307632.692439579, 2336341.028585921, 2242698.067992228]","[13, 16, 18, 13, 20, 14, 13, 14]","[1103.448275862069, 1281.2654473554128, 9224.199288256228, 1188.9908256880733, 1256.4226854095978, 1290.8366533864541, 1323.12404287902, 1357.068062827225]",1884.0,1375.7961783439491
