Iteration,Best Solution,Best Solution Sequence,N Machines,Reward,Precedence
1,"[1, 1, 1, 2, 2, 2, 2, 1, 1, 1, 1, 2, 2, 1, 1, 3, 1, 2, 3, 2, 2, 3, 3, 3, 1, 1, 1]","[0, 1, 2, 16, 14, 13, 7, 9, 10, 25, 26, 8, 24, 3, 4, 5, 20, 11, 19, 17, 12, 6, 23, 18, 22, 21, 15]",3,"(3, [112.02, 108.77000000000001, 103.57999999999998], [['Task0001', 'Task0002', 'Task0003', 'Task0017', 'Task0015', 'Task0014', 'Task0008', 'Task0010', 'Task0011', 'Task0026', 'Task0027', 'Task0009'], ['Task0025', 'Task0004', 'Task0005', 'Task0006', 'Task0021', 'Task0012', 'Task0020', 'Task0018'], ['Task0013', 'Task0007', 'Task0024', 'Task0019', 'Task0023', 'Task0022', 'Task0016']])",1
2,"[1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 2, 2, 2, 3, 2, 2, 3, 2, 2, 3, 3, 3, 2, 1, 2]","[0, 1, 2, 11, 5, 7, 10, 9, 3, 4, 25, 26, 8, 13, 16, 14, 24, 20, 17, 19, 6, 12, 15, 18, 21, 23, 22]",3,"(3, [109.05000000000001, 111.74, 103.58], [['Task0001', 'Task0002', 'Task0003', 'Task0012', 'Task0006', 'Task0008', 'Task0011', 'Task0010', 'Task0004', 'Task0005'], ['Task0026', 'Task0027', 'Task0009', 'Task0014', 'Task0017', 'Task0015', 'Task0025', 'Task0021', 'Task0018', 'Task0020'], ['Task0007', 'Task0013', 'Task0016', 'Task0019', 'Task0022', 'Task0024', 'Task0023']])",1
3,"[1, 1, 1, 2, 2, 2, 1, 1, 2, 1, 1, 2, 1, 1, 1, 3, 1, 1, 3, 1, 2, 3, 3, 3, 1, 2, 2]","[0, 1, 2, 24, 10, 7, 9, 6, 12, 13, 16, 14, 19, 17, 8, 26, 25, 20, 4, 3, 11, 5, 22, 15, 23, 18, 21]",3,"(3, [116.80000000000001, 104.70000000000002, 102.87], [['Task0001', 'Task0002', 'Task0003', 'Task0025', 'Task0011', 'Task0008', 'Task0010', 'Task0007', 'Task0013', 'Task0014', 'Task0017', 'Task0015', 'Task0020'], ['Task0018', 'Task0009', 'Task0027', 'Task0026', 'Task0021', 'Task0005', 'Task0004'], ['Task0012', 'Task0006', 'Task0023', 'Task0016', 'Task0024', 'Task0019', 'Task0022']])",0
4,"[1, 1, 1, 2, 2, 1, 2, 2, 1, 2, 2, 2, 2, 1, 1, 2, 2, 1, 3, 1, 1, 3, 3, 3, 2, 1, 1]","[0, 1, 2, 26, 25, 17, 19, 5, 20, 8, 14, 13, 16, 7, 10, 9, 11, 6, 12, 4, 3, 15, 24, 18, 22, 21, 23]",3,"(3, [113.08000000000001, 113.1, 98.19], [['Task0001', 'Task0002', 'Task0003', 'Task0027', 'Task0026', 'Task0018', 'Task0020', 'Task0006', 'Task0021', 'Task0009', 'Task0015'], ['Task0014', 'Task0017', 'Task0008', 'Task0011', 'Task0010', 'Task0012', 'Task0007', 'Task0013', 'Task0005'], ['Task0004', 'Task0016', 'Task0025', 'Task0019', 'Task0023', 'Task0022', 'Task0024']])",2
5,"[1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 2, 2, 2, 3, 3, 2, 3, 2, 2, 3, 3, 3, 1, 2, 2]","[0, 1, 2, 7, 9, 10, 4, 3, 5, 24, 6, 12, 11, 25, 26, 17, 19, 8, 20, 14, 13, 16, 23, 18, 22, 21, 15]",3,"(3, [107.28, 108.25, 108.83999999999997], [['Task0001', 'Task0002', 'Task0003', 'Task0008', 'Task0010', 'Task0011', 'Task0005', 'Task0004', 'Task0006', 'Task0025'], ['Task0007', 'Task0013', 'Task0012', 'Task0026', 'Task0027', 'Task0018', 'Task0020', 'Task0009'], ['Task0021', 'Task0015', 'Task0014', 'Task0017', 'Task0024', 'Task0019', 'Task0023', 'Task0022', 'Task0016']])",1
