Experiment,Mean Idle Times,Sum Idle Times,Downtime,Mean CT,Parts Done,Cycle Time
1,"[675.932484983697, 1685.0978551658045, 37.310788037445086, 4171.763688141925, 2656.850983534175, 2344.020733946964, 1825.6738950621345]","[468161.0504509028, 254213.14542868861, 212037.20841680042, 2198371.6577838324, 2263372.435849323, 2294241.0036691516, 2186921.7371658566]","[15, 21, 8, 18, 14, 7, 11]","[1564.272782136391, 1791.2923289564617, 913.6411702502644, 953.2916513424053, 974.0698985343855, 993.1034482758621, 1012.8956623681125]",2529.0,1024.9110320284697
2,"[945.0995429438412, 2317.9460813284886, 809.1320972751636, 3585.439457588482, 4484.580117867724, 4226.659495162969, 3476.444336016325]","[495645.41256320896, 234510.3575641048, 204233.45884446354, 2222110.908432387, 2203888.995283067, 2238724.1389769535, 2191293.2390434565]","[18, 19, 17, 14, 16, 15, 18]","[1597.0425138632163, 1840.909090909091, 938.1107491856677, 976.271186440678, 994.6277820414429, 1013.2916340891321, 1036.8]",2461.0,1053.23039414872
3,"[920.8746344323794, 459.4151189970959, 35.495539000146614, 4029.964439192082, 2960.379403712454, 1796.3995177667696, 2779.836399169327]","[454574.5402894458, 230657.6969342094, 200798.2641238294, 2192080.936626834, 2230293.665958016, 2287566.8852969636, 2166347.951780881]","[14, 10, 14, 18, 16, 6, 12]","[1574.726609963548, 1802.5034770514603, 918.8231123714995, 957.1639586410635, 974.4360902255639, 992.7230945997702, 1017.2684458398744]",2509.0,1033.080908728577
4,"[404.3989969466662, 87.96872364043531, 467.8061273785742, 3734.263766613231, 3749.0982031865865, 5803.388374159283, 4061.4882876985844]","[510318.9735934449, 245302.62203867975, 218815.8738065996, 2166824.2933648587, 2177021.3288972266, 2215403.580219499, 2152053.380624789]","[17, 12, 19, 21, 17, 22, 18]","[1604.953560371517, 1860.732232591529, 945.2954048140044, 986.6768176627331, 1007.3843762145356, 1028.5714285714287, 1048.9680291380007]",2446.0,1059.6892886345054
5,"[371.3412145592298, 84.59757688424429, 131.5188797751285, 4191.2705920569715, 3412.666428055681, 4622.61119646902, 3316.2808733895986]","[466305.59244728944, 239157.7637413347, 177857.8273210246, 2242240.653260789, 2240922.4804242114, 2200591.1317585628, 2137017.383792511]","[12, 13, 14, 15, 13, 19, 17]","[1598.0271270036992, 1827.9266572637518, 934.7277316985214, 975.1693002257337, 993.4840935224224, 1011.3148653921186, 1031.8471337579617]",2484.0,1043.4782608695652
6,"[769.9114181177237, 883.4501422955394, 271.9118453229614, 2999.383065926187, 3441.139325403034, 5263.671962883537, 2166.071991495402]","[468018.5353430519, 226855.53645647818, 202634.02954337472, 2222868.849392888, 2230915.1825912273, 2225637.520102501, 2259900.0846426045]","[13, 13, 24, 11, 15, 20, 9]","[1597.0425138632163, 1839.6025550035486, 936.0780065005417, 974.0698985343855, 991.9632606199771, 1013.687915526007, 1034.7305389221558]",2481.0,1044.7400241837968
7,"[1794.8979067730957, 566.0630252746338, 34.00937870014249, 4014.6708183401497, 4445.2712919842, 4956.482462994479, 4642.973537003538]","[485038.35029271245, 235660.39386974397, 192390.99806039693, 2219539.4426549114, 2168685.7329601217, 2230698.6859465125, 2091063.7142047489]","[12, 11, 6, 15, 16, 14, 19]","[1570.909090909091, 1791.2923289564617, 915.9010600706714, 954.3446244477173, 972.972972972973, 993.1034482758621, 1016.0721285770286]",2518.0,1029.3884034948371
8,"[2490.6358226826546, 80.32430067983263, 414.8651447902042, 4455.653356523365, 3086.399713417546, 3645.130667519039, 3537.577415271707]","[469707.46524741163, 231815.931761997, 210665.47655320363, 2230118.2011844865, 2237780.9384325356, 2238104.7205457855, 2185825.658766205]","[14, 13, 14, 17, 20, 13, 12]","[1580.4878048780488, 1805.0139275766016, 921.7638691322902, 961.0678531701891, 979.9621928166351, 999.6143463170073, 1026.9413629160063]",2480.0,1045.1612903225807
9,"[874.1241514753827, 78.43071682693517, 32.71982739989635, 2769.8741806794415, 3748.6871720706695, 3139.882000171578, 3386.6955685081925]","[465974.918194492, 225174.5880101309, 183787.2705052178, 2230974.9601905895, 2261017.155923818, 2231897.4655080284, 2155556.942120287]","[15, 16, 10, 11, 14, 14, 13]","[1578.5627283800243, 1816.3980378416259, 924.7235105244381, 961.0678531701891, 975.1693002257337, 995.3917050691244, 1019.669551534225]",2509.0,1033.080908728577
10,"[2499.499940795226, 1378.1755827929949, 39.70246759629683, 3783.0005655540413, 4949.760307192688, 4109.6571760949455, 4203.814401343492]","[524906.2720909268, 262646.09863017674, 220745.71983541036, 2196409.963364008, 2191230.394437059, 2222632.2947585015, 2136062.6708918656]","[17, 18, 15, 19, 16, 15, 19]","[1592.137592137592, 1835.6940509915014, 935.0649350649351, 976.271186440678, 997.3066564063101, 1017.2684458398744, 1038.045654785743]",2468.0,1050.2431118314425
11,"[474.6773165608166, 291.906167287803, 299.0307235034009, 2559.807917643314, 3579.930599389713, 4751.836697514109, 3645.6151614695177]","[453474.1355024812, 230514.2563588695, 185180.3775078627, 2270448.083564088, 2139767.437382297, 2223255.996584457, 2153524.6885674475]","[11, 15, 19, 10, 16, 16, 16]","[1596.0591133004925, 1821.5038650737877, 931.3690262306864, 971.5142428785607, 989.6907216494845, 1008.9528999610743, 1033.4928229665072]",2475.0,1047.2727272727273
12,"[156.32105363961858, 1259.1866970593, 34.9604824649041, 3330.2735477465094, 5058.057987506045, 5615.535533644917, 5253.604126187293]","[510231.9190797151, 230856.74831720293, 194415.2429873317, 2234190.598407012, 2195664.7968828906, 2168279.0284080952, 2146505.6024888544]","[15, 14, 18, 13, 22, 26, 16]","[1596.0591133004925, 1838.2978723404256, 935.4023818116203, 972.6078799249531, 992.7230945997702, 1019.669551534225, 1048.9680291380007]",2435.0,1064.476386036961
13,"[869.2947130340328, 964.7047693995501, 31.96520609612528, 2617.617765133791, 4521.4929921911935, 5108.5587810162515, 5392.514384124874]","[478634.59450586094, 238888.1556505799, 177790.4763066488, 2226789.5741073433, 2218021.441876535, 2234224.3098672996, 2157764.2560126823]","[11, 10, 13, 11, 16, 14, 17]","[1594.0959409594095, 1830.5084745762713, 934.3907714491709, 973.3383402177994, 990.4470768055024, 1008.5603112840467, 1030.6163021868788]",2482.0,1044.3190975020145
14,"[1048.3370039806866, 1731.0958019042296, 137.58114884680768, 2528.7833206244377, 3384.7053864127292, 3019.638334806844, 3714.695110554426]","[466468.30968226993, 208991.60389053432, 183521.64355922458, 2237747.6793962675, 2214679.7616901426, 2262447.6202555355, 2206867.9371340233]","[13, 15, 15, 14, 14, 14, 12]","[1610.938471100062, 1842.2174840085288, 942.2028353326064, 979.5918367346939, 993.4840935224224, 1010.1325019485581, 1032.258064516129]",2477.0,1046.4271295922488
15,"[544.7583825273017, 818.6872613330985, 403.54571986069186, 3018.3610997349433, 3721.1876306447, 2590.299561970727, 5083.282803278871]","[475006.37242363056, 262632.3619991009, 213916.86782208562, 2208604.3175827432, 2184667.3990381733, 2253038.447506813, 2132185.9208256532]","[12, 15, 17, 15, 21, 13, 17]","[1583.3842394624312, 1827.9266572637518, 929.3653639297239, 967.525195968645, 985.1767388825542, 1006.2111801242236, 1031.4365300437723]",2478.0,1046.0048426150122
