Experiment,Mean Idle Times,Sum Idle Times,Downtime,Mean CT,Parts Done,Cycle Time
1,"[1544.0643182902777, 1640.335376677698, 616.0221689245826, 5352.734296185262, 2646.499700170882, 3779.240720473301, 4429.072764788703, 3588.191500113198]","[629217.9928706009, 311986.0198805247, 259974.08364644626, 2240702.1919605583, 2295883.5462972927, 2320279.748347678, 2229588.6404709877, 2233113.530637674]","[15, 16, 20, 18, 11, 12, 15, 11]","[1818.9473684210527, 2140.37985136251, 1091.3684210526317, 1147.410358565737, 1176.043557168784, 1200.5558128763316, 1223.7960339943343, 1256.4226854095978]",2033.0,1274.9631087063453
2,"[1888.8874202129414, 124.61158369113946, 56.1319366134761, 6908.851299494566, 5698.419511526364, 4786.852795556097, 6240.780789503448, 6295.574060754359]","[606589.0294249557, 301285.40031414415, 264942.7408156072, 2246288.613095434, 2249211.677330712, 2244270.022826939, 2276977.9490465, 2123035.960665229]","[16, 13, 9, 20, 17, 14, 18, 23]","[1831.8021201413428, 2149.2537313432836, 1100.6369426751592, 1156.1106155218554, 1184.102329830973, 1211.214953271028, 1236.6412213740457, 1268.1017612524463]",2014.0,1286.9910625620655
3,"[1480.9734896803911, 932.5752521523369, 52.16651203949038, 3029.484252759783, 3250.2542432547125, 5089.755518978825, 4810.542177728601, 6491.370560908773]","[648173.7612320101, 349635.7854597859, 246173.7703143551, 2268222.0408423785, 2308641.153751408, 2259813.6955936044, 2302873.6353119705, 2184627.462077353]","[16, 15, 18, 12, 11, 17, 13, 21]","[1833.097595473833, 2160.0, 1102.9787234042553, 1155.5951850200624, 1180.8656036446469, 1207.8285181733459, 1234.2857142857142, 1272.459499263623]",1999.0,1296.648324162081
4,"[1358.9976704827216, 1493.8270291763959, 87.46946818520028, 6378.030197426254, 3484.5244122327813, 1523.1564659499631, 3665.130498829944, 4213.143534236775]","[598752.4775169342, 319587.56551832694, 271255.995098438, 2254646.4448717004, 2299097.5745088644, 2328181.7613874613, 2315493.895463442, 2225338.4663234083]","[17, 15, 18, 21, 13, 7, 11, 12]","[1840.909090909091, 2165.4135338345864, 1108.1658828559214, 1163.897620116749, 1188.445667125172, 1212.3479887745557, 1238.4137601528905, 1271.8351324828263]",2008.0,1290.8366533864541
5,"[1254.413475561478, 947.8380365499481, 462.89113529813693, 4087.112908281618, 3113.443273642602, 3529.678527428007, 2575.8997168211235, 4957.975851860953]","[571074.3112787185, 291864.1154625464, 231886.718012391, 2273088.360286538, 2265990.085636812, 2277051.963893889, 2328871.9910468278, 2259441.393418554]","[12, 12, 13, 12, 11, 15, 8, 13]","[1831.8021201413428, 2140.37985136251, 1099.2366412213742, 1152.0, 1174.4449478930676, 1199.4447015270707, 1221.4891611687087, 1250.3617945007236]",2041.0,1269.9657030867222
6,"[3414.785929103736, 129.06000558576173, 1101.3702828402418, 5153.317547951372, 3373.165688161144, 6570.275318373642, 3965.2578538347, 4746.45117779838]","[614140.9371020477, 307928.5244468164, 227881.785518399, 2266321.583465992, 2283944.060343322, 2272442.725871758, 2255186.322966559, 2215848.9073226824]","[15, 12, 11, 17, 12, 18, 14, 13]","[1842.2174840085288, 2170.854271356784, 1111.015859408487, 1165.4676258992806, 1185.1851851851852, 1206.1423918101443, 1230.1850972947318, 1260.087506076811]",2026.0,1279.3682132280355
7,"[1212.0336489316373, 703.8675851215444, 391.45900441106085, 3476.308405635744, 4659.027735648222, 3526.0852220545894, 2321.73321035423, 3916.44164109575]","[577843.0729178318, 294806.77551361476, 234663.92422892275, 2277440.243470275, 2285373.614150308, 2287104.587453609, 2319820.817472616, 2203898.8765162663]","[16, 13, 9, 11, 12, 11, 8, 13]","[1833.097595473833, 2154.6134663341645, 1102.0408163265306, 1153.0249110320285, 1174.9773345421577, 1200.0, 1221.4891611687087, 1249.7589199614272]",2046.0,1266.8621700879764
8,"[1215.07803502622, 365.79401671447073, 866.8916400615237, 3873.5812245508623, 4552.479290171478, 4895.678750711237, 4181.886541807336, 4471.298350173807]","[596463.9363467513, 314761.29134485417, 215783.49387333152, 2295142.499705733, 2259573.960627955, 2244870.957149056, 2287544.4655398703, 2192794.4202420707]","[15, 13, 10, 13, 22, 17, 14, 12]","[1818.9473684210527, 2142.1487603305786, 1092.2882427307206, 1143.865842894969, 1167.0418730301667, 1195.5719557195573, 1224.3741143127068, 1258.2524271844661]",2025.0,1280.0
9,"[1695.5341725677354, 2858.799207821, 1096.932837391462, 6852.379784770121, 3854.759161137537, 3948.5848208595485, 7057.340533624758, 4402.570958853653]","[587264.5089129489, 296219.5515918775, 266816.6702652199, 2276235.360837317, 2255838.260893635, 2227251.006250769, 2225207.8070482346, 2266728.7601406905]","[15, 27, 18, 17, 12, 15, 24, 13]","[1844.8398576512454, 2204.081632653061, 1118.6879585671127, 1176.043557168784, 1202.226345083488, 1227.2727272727273, 1255.8139534883721, 1290.1941264310603]",1982.0,1307.7699293642786
10,"[207.72038545032942, 2295.27118396786, 280.05998761126574, 3441.178964282688, 6030.621164517367, 4480.926705559336, 5420.747282196671, 6094.07738773943]","[585148.325813578, 304744.06729496893, 248669.52880217793, 2296408.795247244, 2236415.4354115636, 2232340.490255051, 2227275.5548936627, 2133861.3676883206]","[8, 22, 14, 12, 19, 17, 14, 23]","[1846.1538461538462, 2154.6134663341645, 1107.2191371208885, 1161.8108471537428, 1186.2700228832953, 1215.7598499061914, 1239.5982783357244, 1268.7224669603524]",2009.0,1290.1941264310603
