Iteration,Best Solution,Best Solution Sequence,N Machines,Reward,Precedence
1,"[1, 1, 1, 3, 3, 2, 1, 2, 1, 2, 2, 2, 1, 1, 1, 3, 1, 1, 3, 1, 1, 3, 3, 3, 3, 2, 2]","[0, 1, 2, 8, 17, 19, 20, 16, 13, 14, 6, 12, 11, 9, 10, 7, 25, 26, 5, 3, 4, 24, 22, 23, 15, 18, 21]",4,"(4, [87.7, 82.87, 85.6, 68.19999999999999], [['Task0001', 'Task0002', 'Task0003', 'Task0009', 'Task0018', 'Task0020', 'Task0021', 'Task0017', 'Task0014', 'Task0015', 'Task0007'], ['Task0013', 'Task0012', 'Task0010', 'Task0011', 'Task0008', 'Task0026'], ['Task0027', 'Task0006', 'Task0004', 'Task0005', 'Task0025'], ['Task0023', 'Task0024', 'Task0016', 'Task0019', 'Task0022']])",0
2,"[1, 1, 1, 1, 1, 1, 2, 3, 2, 2, 2, 1, 2, 1, 2, 3, 1, 2, 3, 2, 2, 3, 3, 3, 2, 3, 3]","[0, 1, 2, 13, 16, 4, 3, 5, 11, 20, 12, 6, 8, 24, 14, 17, 19, 9, 10, 7, 25, 26, 22, 23, 15, 18, 21]",4,"(4, [84.96000000000001, 88.36, 82.85, 68.19999999999999], [['Task0001', 'Task0002', 'Task0003', 'Task0014', 'Task0017', 'Task0005', 'Task0004', 'Task0006'], ['Task0012', 'Task0021', 'Task0013', 'Task0007', 'Task0009', 'Task0025'], ['Task0015', 'Task0018', 'Task0020', 'Task0010', 'Task0011', 'Task0008', 'Task0026', 'Task0027'], ['Task0023', 'Task0024', 'Task0016', 'Task0019', 'Task0022']])",0
3,"[1, 1, 1, 1, 1, 3, 1, 2, 3, 2, 2, 3, 1, 2, 2, 4, 2, 3, 4, 3, 3, 4, 3, 3, 1, 2, 2]","[0, 1, 2, 12, 6, 3, 4, 24, 16, 13, 14, 9, 7, 10, 25, 26, 17, 19, 5, 11, 20, 8, 23, 22, 15, 18, 21]",4,"(4, [84.47999999999999, 88.27, 83.42, 68.19999999999999], [['Task0001', 'Task0002', 'Task0003', 'Task0013', 'Task0007', 'Task0004', 'Task0005'], ['Task0025', 'Task0017', 'Task0014', 'Task0015', 'Task0010', 'Task0008', 'Task0011', 'Task0026'], ['Task0027', 'Task0018', 'Task0020', 'Task0006', 'Task0012', 'Task0021', 'Task0009'], ['Task0024', 'Task0023', 'Task0016', 'Task0019', 'Task0022']])",0
4,"[1, 1, 1, 3, 3, 1, 2, 2, 1, 2, 2, 1, 3, 1, 1, 4, 1, 1, 4, 1, 1, 4, 3, 3, 3, 2, 2]","[0, 1, 2, 19, 17, 20, 16, 14, 13, 11, 8, 5, 6, 25, 26, 9, 10, 7, 12, 24, 3, 4, 22, 23, 18, 21, 15]",4,"(4, [84.07999999999998, 86.25000000000001, 85.84, 68.19999999999999], [['Task0001', 'Task0002', 'Task0003', 'Task0020', 'Task0018', 'Task0021', 'Task0017', 'Task0015', 'Task0014', 'Task0012', 'Task0009'], ['Task0006', 'Task0007', 'Task0026', 'Task0027', 'Task0010'], ['Task0011', 'Task0008', 'Task0013', 'Task0025', 'Task0004', 'Task0005'], ['Task0023', 'Task0024', 'Task0019', 'Task0022', 'Task0016']])",1
5,"[1, 1, 2, 3, 3, 2, 2, 1, 3, 1, 1, 2, 2, 1, 1, 4, 1, 2, 3, 3, 3, 4, 3, 3, 2, 1, 1]","[0, 1, 7, 9, 10, 26, 25, 14, 16, 13, 12, 6, 24, 11, 2, 5, 17, 19, 20, 4, 3, 8, 23, 18, 22, 15, 21]",4,"(4, [89.07999999999998, 86.41, 80.67999999999999, 68.2], [['Task0001', 'Task0002', 'Task0008', 'Task0010', 'Task0011', 'Task0027', 'Task0026', 'Task0015', 'Task0017'], ['Task0014', 'Task0013', 'Task0007', 'Task0025', 'Task0012', 'Task0003'], ['Task0006', 'Task0018', 'Task0020', 'Task0021', 'Task0005', 'Task0004', 'Task0009'], ['Task0024', 'Task0019', 'Task0023', 'Task0016', 'Task0022']])",12
