Experiment,Mean Idle Times,Sum Idle Times,Downtime,Mean CT,Parts Done,Cycle Time
50,"[0.0, 6252.913905180092, 3665.2820107522966, 145696.00914125476, 124924.7951051649, 86643.86574140826, 81583.17700503414]","[37543.0, 6252.913905180092, 3665.2820107523003, 80977.07790956259, 73521.93456416957, 76635.73668119028, 81583.17700503416]","[0, 0, 0, 1, 1, 1, 0]","[36.954662104362704, 162.71186440677965, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
51,"[0.0, 6245.888689889245, 3667.5356458788883, 157178.01092376985, 76477.70716865562, 94931.52492738172, 80637.00137584149]","[33285.0, 6245.888689889245, 3667.5356458788883, 76084.72520461958, 76477.70716865563, 75915.26404078738, 80637.0013758415]","[1, 0, 0, 2, 1, 1, 0]","[36.486486486486484, 162.71186440677965, 1053.658536585366, 1040.9638554216867, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941]",85.0,1016.4705882352941
52,"[0.0, 8520.891812359117, 6345.2310210989635, 84824.16719041903, 78252.1419380405, 81212.5852152081, 99854.76741643355]","[32989.0, 8520.891812359114, 6345.231021098967, 84824.16719041904, 78252.1419380405, 81212.5852152081, 78238.4203276021]","[1, 0, 2, 0, 0, 0, 1]","[36.34833824148086, 167.4418604651163, 1200.0, 1183.5616438356165, 1167.5675675675675, 1152.0, 1136.842105263158]",76.0,1136.842105263158
53,"[0.0, 7459.611594151502, 5505.372274400015, 142842.93729780678, 77415.5061965446, 77095.35213466437, 81526.0668951647]","[33466.0, 7459.611594151502, 5505.3722744000115, 80286.98678939289, 77415.50619654461, 77095.35213466437, 81526.06689516468]","[1, 1, 0, 1, 0, 1, 0]","[36.71908202294943, 173.14629258517033, 1080.0, 1066.6666666666667, 1053.658536585366, 1040.9638554216867, 1028.5714285714287]",84.0,1028.5714285714287
54,"[0.0, 6249.174605046075, 3669.452669754315, 84852.00838670222, 97076.68011522166, 80739.24717130483, 100061.82202873085]","[35032.0, 6249.174605046075, 3669.452669754319, 84852.00838670222, 73053.80491565327, 80739.24717130483, 76038.92808754357]","[0, 0, 0, 0, 1, 0, 1]","[35.15052888527258, 162.71186440677965, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
55,"[0.0, 7389.859514661428, 4807.888984494031, 84996.45991598375, 74915.42299312374, 82525.52791379846, 78927.7632129566]","[31240.0, 7389.859514661428, 4807.888984494028, 84996.45991598375, 74915.42299312375, 74518.6782973644, 78927.76321295662]","[1, 0, 0, 0, 1, 1, 0]","[35.064935064935064, 165.20076481835565, 1066.6666666666667, 1053.658536585366, 1080.0, 1066.6666666666667, 1053.658536585366]",82.0,1053.658536585366
56,"[0.0, 8967.348649960564, 6749.878741146298, 84958.44591602689, 128296.15864932614, 80997.98428299266, 81818.1765976026]","[31965.0, 8967.348649960564, 6749.878741146298, 84958.4459160269, 72503.47583999255, 80997.98428299266, 81818.1765976026]","[1, 1, 0, 0, 1, 0, 0]","[35.526315789473685, 176.68711656441718, 1093.6708860759493, 1080.0, 1066.6666666666667, 1053.658536585366, 1040.9638554216867]",83.0,1040.9638554216867
57,"[0.0, 32039.11268562825, 5298.382844497435, 159313.74997379095, 78105.59665011364, 123290.33617479564, 210084.08617089473]","[34345.0, 3366.032690100743, 5298.382844497435, 80953.06303627917, 77205.36161001965, 76266.33406842429, 72378.89276067461]","[0, 2, 0, 1, 0, 1, 2]","[34.71273603856971, 174.19354838709677, 1066.6666666666667, 1053.658536585366, 1053.658536585366, 1040.9638554216867, 1028.5714285714287]",84.0,1028.5714285714287
58,"[0.0, 7451.0335510219065, 4168.600300606919, 85350.36758087348, 137931.0359684856, 81238.50135535489, 79238.7994049096]","[24481.0, 7451.03355102191, 4168.600300606922, 85350.36758087347, 73710.4470978794, 80298.66312816895, 79238.79940490962]","[3, 2, 0, 0, 1, 0, 1]","[35.3518821603928, 181.89473684210526, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1028.5714285714287, 1040.9638554216867]",83.0,1040.9638554216867
59,"[0.0, 6249.007654647965, 3665.066066065523, 84846.52102978824, 77375.43883077826, 80734.83291915992, 81584.61929314639]","[32396.0, 6249.007654647969, 3665.0660660655267, 84846.52102978824, 77375.4388307783, 80734.83291915992, 81584.6192931464]","[0, 1, 0, 0, 0, 0, 0]","[33.43653250773994, 170.41420118343194, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
60,"[0.0, 6353.5231574539175, 5177.912676416268, 117078.37033804908, 77985.73866742468, 81147.30155343766, 81946.22007185791]","[31141.0, 6353.523157453921, 5177.912676416272, 80588.08041555992, 77985.7386674247, 81147.30155343766, 81946.22007185793]","[0, 0, 1, 1, 0, 0, 0]","[32.70249810749432, 163.0188679245283, 1122.077922077922, 1107.6923076923076, 1093.6708860759493, 1080.0, 1066.6666666666667]",81.0,1066.6666666666667
61,"[0.0, 6249.144595406786, 3074.6215338631337, 194075.6390425425, 77781.17562178237, 80981.93265630127, 103540.05537010287]","[27231.0, 6249.144595406786, 3074.62153386313, 71399.38658680493, 77781.1756217824, 80981.93265630126, 77220.1941260075]","[1, 0, 1, 4, 0, 0, 1]","[32.4812030075188, 162.71186440677965, 1093.6708860759493, 1093.6708860759493, 1080.0, 1066.6666666666667, 1053.658536585366]",82.0,1053.658536585366
62,"[0.0, 6330.576243460913, 3618.2023776111855, 99392.5073854403, 77867.82527287555, 127450.95704975874, 81874.75776048793]","[26284.0, 6330.576243460917, 1312.0611339612587, 81376.63016511602, 77867.82527287555, 71651.77578675949, 81874.75776048792]","[1, 0, 1, 1, 0, 1, 0]","[31.98815253609774, 163.0188679245283, 1107.6923076923076, 1093.6708860759493, 1080.0, 1066.6666666666667, 1053.658536585366]",82.0,1053.658536585366
63,"[0.0, 6250.567595569621, 3667.0211584230674, 84845.77082839135, 77374.92326680021, 80737.55240690545, 81589.33644366701]","[29880.0, 6250.567595569617, 3667.021158423071, 84845.77082839137, 77374.9232668002, 80737.55240690545, 81589.336443667]","[0, 1, 0, 0, 0, 0, 0]","[31.952662721893493, 170.41420118343194, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
64,"[0.0, 60033.38465302471, 56656.99839629626, 164240.502242156, 77426.09897994428, 77057.54435440461, 81484.69231303906]","[25611.0, 2589.2653940415257, 1195.2597827636855, 80754.78307997526, 77426.09897994426, 76117.30770592508, 81484.69231303908]","[1, 1, 1, 1, 0, 1, 0]","[31.625183016105417, 167.11798839458413, 1093.6708860759493, 1080.0, 1066.6666666666667, 1053.658536585366, 1040.9638554216867]",83.0,1040.9638554216867
65,"[0.0, 5247.290609593088, 3228.532933717888, 85398.28436086225, 116972.18557693175, 80296.0893365618, 160476.56243902748]","[29924.0, 5247.290609593092, 3228.5329337178846, 85398.28436086225, 72656.77704647469, 80296.08933656178, 77179.487222569]","[0, 2, 0, 0, 1, 0, 1]","[31.964483906770255, 176.3265306122449, 1040.9638554216867, 1028.5714285714287, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
66,"[0.0, 5732.636378166135, 3732.9829207313014, 116198.72151744482, 77442.84192756572, 80985.51184873086, 139062.0335540633]","[25169.0, 5732.6363781661385, 3732.9829207313014, 81280.44636602109, 77442.84192756572, 80985.51184873088, 78278.74975409464]","[1, 2, 0, 1, 0, 0, 1]","[31.38394478750454, 177.77777777777777, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1053.658536585366, 1080.0]",80.0,1080.0
67,"[0.0, 6266.784596682224, 3087.4868506010207, 84895.83472558938, 122024.92178182889, 143690.50231882432, 81757.29574260539]","[19623.0, 6266.784596682224, 3087.486850601017, 84895.83472558938, 73669.1175598237, 76949.92165076606, 81757.29574260539]","[2, 0, 1, 0, 1, 1, 0]","[30.305156085584006, 162.71186440677965, 1093.6708860759493, 1080.0, 1066.6666666666667, 1053.658536585366, 1040.9638554216867]",83.0,1040.9638554216867
68,"[0.0, 6249.593462216173, 3668.5061231360232, 95640.40659713201, 77380.46817370574, 80740.38170861593, 124858.48583489266]","[26262.0, 6249.593462216177, 3668.5061231360232, 80626.39375621085, 77380.46817370574, 80740.38170861593, 77457.40597943625]","[0, 0, 0, 1, 0, 0, 1]","[30.02084781097985, 162.71186440677965, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
69,"[0.0, 5726.791761614655, 3729.698797452398, 84909.65385458621, 77437.57167916189, 85617.29941642622, 160347.85524053941]","[26396.0, 5726.7917616146515, 3729.6987974523945, 84909.65385458621, 77437.57167916189, 76608.98857206934, 77547.55948353485]","[0, 1, 0, 0, 0, 1, 1]","[30.136030694105337, 169.41176470588235, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
70,"[0.0, 6243.05182357927, 3666.6678975155482, 84845.7874907109, 87040.9479831548, 80735.57948976132, 81586.7707005916]","[21340.0, 6243.05182357927, 3666.6678975155446, 84845.78749071092, 73028.14763589136, 80735.57948976131, 81586.77070059159]","[1, 0, 0, 0, 1, 0, 0]","[29.40776038121171, 162.71186440677965, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
71,"[0.0, 6244.959439940296, 3665.9833562634485, 97753.94855252744, 78078.45993611548, 81035.14054193598, 81884.45275767383]","[24365.0, 6244.959439940296, 3665.983356263452, 80738.13687482316, 73777.61567253392, 81035.14054193598, 81884.45275767382]","[0, 0, 0, 1, 1, 0, 0]","[29.110512129380055, 162.71186440677965, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
